max_depth,cv_auc_mean,cv_auc_std,test_auc,n_leaves,is_sweet_spot
1,0.7622,0.0026,0.7528,2,False
2,0.8332,0.0019,0.8316,4,False
3,0.8629,0.0033,0.8602,8,False
4,0.8768,0.0028,0.8743,16,False
5,0.8848,0.003,0.8847,30,False
6,0.8954,0.0029,0.8977,52,False
7,0.8996,0.0023,0.9024,87,False
8,0.9018,0.0025,0.9031,132,True
9,0.9021,0.0021,0.9043,195,False
10,0.8993,0.0049,0.9047,293,False
11,0.8958,0.0037,0.9034,422,False
12,0.8873,0.0044,0.8978,584,False
13,0.8812,0.0023,0.8922,792,False
14,0.8717,0.0024,0.8842,1035,False
15,0.8641,0.0044,0.8775,1322,False
16,0.8573,0.0024,0.871,1619,False
17,0.852,0.0037,0.8665,1928,False
18,0.8447,0.0041,0.8553,2270,False
19,0.8387,0.004,0.8551,2602,False
20,0.8351,0.0039,0.8483,2957,False
